"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7217","TC-LOG-016: browser back after logout does not restore authenticated session","chromium","Wed Apr 22 13:19:27 UTC 2026","passed","Wed Apr 22 13:19:34 UTC 2026","Login / Authentication","login.spec.ts","",""
"","66557","TC-LOG-014: username with leading/trailing spaces should login successfully — BUG-006","chromium","Wed Apr 22 13:19:14 UTC 2026","passed","Wed Apr 22 13:20:21 UTC 2026","Login / Authentication","login.spec.ts","",""
"","9135","TC-LOG-015: logout redirects to login page","chromium","Wed Apr 22 13:19:17 UTC 2026","passed","Wed Apr 22 13:19:27 UTC 2026","Login / Authentication","login.spec.ts","",""
"","7420","TC-LOG-013: excessive input — Login button must remain visible and enabled","chromium","Wed Apr 22 13:19:10 UTC 2026","passed","Wed Apr 22 13:19:17 UTC 2026","Login / Authentication","login.spec.ts","",""
"","8035","TC-LOG-010: unregistered email returns same response — prevents user enumeration","chromium","Wed Apr 22 13:18:56 UTC 2026","passed","Wed Apr 22 13:19:04 UTC 2026","Login / Authentication","login.spec.ts","",""
"","3604","TC-LOG-025: lowercase ""admin"" should log in — BUG-007","chromium","Wed Apr 22 13:19:53 UTC 2026","passed","Wed Apr 22 13:19:57 UTC 2026","Login / Authentication","login.spec.ts","",""
"","4947","TC-LOG-017: session persists after page refresh","chromium","Wed Apr 22 13:19:34 UTC 2026","passed","Wed Apr 22 13:19:39 UTC 2026","Login / Authentication","login.spec.ts","",""
"","3201","TC-LOG-024: failed login must return HTTP 401, not 302 — BUG-005","chromium","Wed Apr 22 13:19:50 UTC 2026","passed","Wed Apr 22 13:19:53 UTC 2026","Login / Authentication","login.spec.ts","",""
"","0","TC-LOG-027: login request uses POST and password is not in the URL","chromium","Wed Apr 22 13:20:08 UTC 2026","skipped","Wed Apr 22 13:20:08 UTC 2026","Login / Performance and Network Security","login.spec.ts","",""
"","0","TC-LOG-029: credentials do not appear in the URL after successful login","chromium","Wed Apr 22 13:20:08 UTC 2026","skipped","Wed Apr 22 13:20:08 UTC 2026","Login / Performance and Network Security","login.spec.ts","",""
"","11575","TC-LOG-019: all login elements are visible on mobile viewport (393x851)","chromium","Wed Apr 22 13:19:57 UTC 2026","passed","Wed Apr 22 13:20:08 UTC 2026","Login / Mobile Viewport","login.spec.ts","",""
"","10251","TC-LOG-012: XSS payload in username is not executed","chromium","Wed Apr 22 13:19:04 UTC 2026","passed","Wed Apr 22 13:19:14 UTC 2026","Login / Authentication","login.spec.ts","",""
"","6211","TC-LOG-003: invalid password shows error and stays on login page","chromium","Wed Apr 22 13:18:44 UTC 2026","passed","Wed Apr 22 13:18:50 UTC 2026","Login / Authentication","login.spec.ts","",""
"","0","TC-LOG-028: login page is served over HTTPS","chromium","Wed Apr 22 13:20:08 UTC 2026","skipped","Wed Apr 22 13:20:08 UTC 2026","Login / Performance and Network Security","login.spec.ts","",""
"","3764","TC-LOG-007: password field masks typed characters","chromium","Wed Apr 22 13:18:52 UTC 2026","passed","Wed Apr 22 13:18:56 UTC 2026","Login / Authentication","login.spec.ts","",""
"","6543","TC-LOG-008: Forgot password link navigates to reset page","chromium","Wed Apr 22 13:18:54 UTC 2026","passed","Wed Apr 22 13:19:00 UTC 2026","Login / Authentication","login.spec.ts","",""
"","6320","TC-LOG-001: valid credentials redirect to dashboard","chromium","Wed Apr 22 13:18:38 UTC 2026","passed","Wed Apr 22 13:18:44 UTC 2026","Login / Authentication","login.spec.ts","",""
"","3943","TC-LOG-006: both empty fields show Required messages simultaneously","chromium","Wed Apr 22 13:18:50 UTC 2026","passed","Wed Apr 22 13:18:54 UTC 2026","Login / Authentication","login.spec.ts","",""
"","4014","TC-LOG-004: empty username shows Required validation message","chromium","Wed Apr 22 13:18:45 UTC 2026","passed","Wed Apr 22 13:18:49 UTC 2026","Login / Authentication","login.spec.ts","",""
"","3482","TC-LOG-005: empty password shows Required validation message","chromium","Wed Apr 22 13:18:49 UTC 2026","passed","Wed Apr 22 13:18:52 UTC 2026","Login / Authentication","login.spec.ts","",""
"","4285","TC-LOG-020: error message is generic and does not reveal which field is wrong","chromium","Wed Apr 22 13:19:39 UTC 2026","passed","Wed Apr 22 13:19:43 UTC 2026","Login / Authentication","login.spec.ts","",""
"","3276","TC-LOG-023: account is not locked after 6 failed attempts — BUG-004","chromium","Wed Apr 22 13:19:46 UTC 2026","skipped","Wed Apr 22 13:19:50 UTC 2026","Login / Authentication","login.spec.ts","",""
"","5469","TC-LOG-002: invalid username shows error and stays on login page","chromium","Wed Apr 22 13:18:38 UTC 2026","passed","Wed Apr 22 13:18:43 UTC 2026","Login / Authentication","login.spec.ts","",""
"","3452","TC-LOG-021: single-character password triggers no field validation — BUG-002","chromium","Wed Apr 22 13:19:43 UTC 2026","passed","Wed Apr 22 13:19:46 UTC 2026","Login / Authentication","login.spec.ts","",""
"","1","TC-LOG-030: login page browser tab title contains OrangeHRM","chromium","Wed Apr 22 13:20:08 UTC 2026","skipped","Wed Apr 22 13:20:08 UTC 2026","Login / Performance and Network Security","login.spec.ts","",""
"","9451","TC-LOG-011: SQL injection in username field is rejected gracefully","chromium","Wed Apr 22 13:19:00 UTC 2026","passed","Wed Apr 22 13:19:10 UTC 2026","Login / Authentication","login.spec.ts","",""
